Latitude,Longitude,2023 Rides,2022 Rides,2021 Rides,2020 Rides,2019 Rides,2018 Rides,2017 Rides,Municipality,Municipality
41.7462° N,70.2843° W,16242,12507,9554,7637,13660,10038,6990,Sandwich,Sandwich
42.4653° N,71.0180° W,325705,244216,184680,145120,267001,212729,147714,Saugus,Saugus
42.6015° N,73.1171° W,1,1,0,1,0,1,1,Savoy,Savoy
42.2013° N,70.7253° W,13110,8552,5522,5841,16117,8595,5123,Scituate,Scituate
41.8194° N,71.2953° W,49137,36211,25309,21188,40413,30616,20062,Seekonk,Seekonk
42.1247° N,71.1773° W,48410,31469,18963,13746,38192,29103,19651,Sharon,Sharon
42.1059° N,73.3087° W,23,6,3,2,20,20,17,Sheffield,Sheffield
42.4746° N,72.8703° W,27,5,15,1,31,41,48,Shelburne,Shelburne
42.2157° N,71.3501° W,6039,4368,3228,2439,6905,5289,3614,Sherborn,Sherborn
42.5490° N,71.6213° W,2165,1477,1397,1207,3265,1476,510,Shirley,Shirley
42.2791° N,71.7139° W,136871,98551,63940,59300,123952,96014,64166,Shrewsbury,Shrewsbury
42.3664° N,72.4536° W,88,34,20,38,132,137,61,Shutesbury,Shutesbury
41.7200° N,71.1155° W,25916,16711,13715,9166,14278,7867,3849,Somerset,Somerset
42.3876° N,71.0995° W,2201208,1806044,1172672,1159701,3463968,3323087,2727951,Somerville,Somerville
42.2586° N,72.5872° W,17190,12069,5192,7808,27754,24713,16742,South Hadley,South Hadley
42.2581° N,72.6460° W,1070,630,460,712,2183,1672,1187,Southampton,Southampton
42.2787° N,71.5221° W,31968,18592,9735,11389,30365,23344,17824,Southborough,Southborough
42.0750° N,71.7211° W,8875,5455,2722,3038,7281,4307,1751,Southbridge,Southbridge
42.0340° N,72.8031° W,1328,573,163,542,2164,2025,1198,Southwick,Southwick
42.2652° N,71.8223° W,6430,4052,2629,3219,6411,4287,2658,Spencer,Spencer
42.1015° N,72.5898° W,867822,584722,323178,414354,915724,682690,378381,Springfield,Springfield
42.4479° N,71.7093° W,3976,3260,1831,2058,4069,2275,1338,Sterling,Sterling
42.2594° N,73.3253° W,200,141,38,112,952,1143,708,Stockbridge,Stockbridge
42.4634° N,71.0873° W,146374,107990,77848,63200,133128,99293,68701,Stoneham,Stoneham
42.1403° N,71.1052° W,224463,156967,117580,93083,143853,109030,70721,Stoughton,Stoughton
42.4259° N,71.5223° W,5246,3290,1832,2201,5622,3389,2161,Stow,Stow
42.0961° N,72.0870° W,6218,3808,1979,2184,6634,4511,2192,Sturbridge,Sturbridge
42.3601° N,71.4001° W,35199,24460,14043,12641,32114,22384,14547,Sudbury,Sudbury
42.5226° N,72.5229° W,4940,5125,1863,2088,6653,6768,5285,Sunderland,Sunderland
42.1675° N,71.7169° W,8326,5415,3905,4226,6657,4215,2483,Sutton,Sutton
42.4669° N,70.9249° W,95483,67220,45090,39462,88523,68911,51522,Swampscott,Swampscott
41.7594° N,71.1545° W,20441,13605,10700,7971,12572,9145,4329,Swansea,Swansea
41.9003° N,71.0892° W,242395,141672,102263,82111,118760,74694,31042,Taunton,Taunton
42.5965° N,71.9761° W,400,368,160,313,474,371,123,Templeton,Templeton
42.5658° N,71.1900° W,144739,107622,83383,63475,95785,72663,48677,Tewksbury,Tewksbury
41.4542° N,70.7504° W,42877,33721,27843,18577,44268,34798,19003,Tisbury,Tisbury
42.1419° N,72.3113° W,3,0,0,0,2,0,0,Tolland,Tolland
42.5912° N,70.9391° W,7268,5134,3454,3007,7211,4830,3012,Topsfield,Topsfield
42.6564° N,71.6553° W,1081,569,587,556,1006,704,184,Townsend,Townsend
42.0347° N,70.1918° W,3485,2674,1933,908,5608,4897,2506,Truro,Truro
42.6644° N,71.4709° W,27487,19277,11915,9406,20438,13040,8791,Tyngsborough,Tyngsborough
42.2966° N,73.1984° W,7,0,3,1,10,13,13,Tyringham,Tyringham
42.1911° N,71.6209° W,3175,2099,1417,1663,3735,2392,1367,Upton,Upton
42.0702° N,71.6044° W,5103,4304,2682,2600,5418,3288,2055,Uxbridge,Uxbridge
42.5056° N,71.0733° W,134753,96902,65749,54541,127659,97261,68332,Wakefield,Wakefield
42.1939° N,72.3052° W,11,9,4,2,16,9,4,Wales,Wales
42.0651° N,71.2653° W,90649,62339,42324,34570,74262,55839,31775,Walpole,Walpole
42.3765° N,71.2357° W,941527,705960,445177,409040,1085234,922776,711420,Waltham,Waltham
42.2203° N,72.2516° W,425,150,92,167,559,490,258,Ware,Ware
41.7420° N,70.6235° W,31095,20990,17482,16459,25652,11825,4997,Wareham,Wareham
42.2959° N,72.1781° W,202,121,82,72,157,148,76,Warren,Warren
42.5943° N,72.7143° W,0,1,0,0,0,0,0,Warwick,Warwick
